#:x y Ey Bx Bz
0 0 0.149289 0.107707 0.013432
1 0 0.136016 0.102387 0.023320
2 0 0.110774 0.090218 0.026809
3 0 0.076925 0.069816 0.022404
4 0 0.042610 0.043640 0.013416
5 0 0.018036 0.020794 0.005778
6 0 0.005780 0.007444 0.001828
7 0 0.001416 0.002022 0.000436
8 0 0.000269 0.000424 0.000080
9 0 0.000040 0.000070 0.000012
10 0 0.000005 0.000009 0.000001
11 0 0.000000 0.000001 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000

0 1 0.211037 0.167055 0.018752
1 1 0.204059 0.168188 0.035489
2 1 0.186460 0.164242 0.047211
3 1 0.154094 0.147548 0.048580
4 1 0.105053 0.110399 0.036262
5 1 0.054655 0.063001 0.019127
6 1 0.021171 0.026641 0.007251
7 1 0.006154 0.008416 0.002034
8 1 0.001368 0.002026 0.000434
9 1 0.000237 0.000380 0.000072
10 1 0.000033 0.000056 0.000010
11 1 0.000004 0.000007 0.000001
12 1 0.000000 0.000001 0.000000
13 1 0.000000 0.000000 0.000000
14 1 0.000000 0.000000 0.000000
15 1 0.000000 0.000000 0.000000
16 1 0.000000 0.000000 0.000000
17 1 0.000000 0.000000 0.000000
18 1 0.000000 0.000000 0.000000
19 1 0.000000 0.000000 0.000000

0 2 0.200181 0.086467 0.017619
1 2 0.215151 0.107478 0.039435
2 2 0.233871 0.138962 0.063905
3 2 0.243245 0.167722 0.085730
4 2 0.215087 0.169637 0.083660
5 2 0.142440 0.126458 0.055487
6 2 0.067890 0.066836 0.025476
7 2 0.023583 0.025471 0.008424
8 2 0.006131 0.007215 0.002081
9 2 0.001224 0.001563 0.000396
10 2 0.000192 0.000265 0.000059
11 2 0.000024 0.000036 0.000007
