#:x y Ey Bx Bz
0 0 0.000000 0.000000 0.000000
1 0 0.000000 0.000000 0.000000
2 0 0.000000 0.000000 0.000000
3 0 0.000000 0.000000 0.000000
4 0 0.000000 0.000000 0.000000
5 0 0.000000 0.000000 0.000000
6 0 0.000000 0.000000 0.000000
7 0 0.000000 0.000000 0.000000
8 0 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000
20 0 0.000000 0.000000 0.000000
21 0 0.000000 0.000000 0.000000
22 0 0.000000 0.000000 0.000000
23 0 0.000000 0.000000 0.000000
24 0 0.000000 0.000000 0.000000
25 0 0.000000 0.000000 0.000000
26 0 0.000000 0.000000 0.000000
27 0 0.000000 0.000000 0.000000
28 0 0.000000 0.000000 0.000000
29 0 0.000000 0.000000 0.000000
30 0 0.000000 0.000000 0.000000
31 0 0.000000 0.000000 0.000000
32 0 0.000000 0.000000 0.000000
33 0 0.000000 0.000000 0.000000
34 0 0.000000 0.000000 0.000000
35 0 0.000000 0.000000 0.000000
36 0 0.000000 0.000000 0.000000
37 0 0.000000 0.000000 0.000000
38 0 0.000000 0.000000 0.000000
39 0 0.000000 0.000000 0.000000
40 0 0.000000 0.000000 0.000000
41 0 0.000000 0.000000 0.000000
42 0 0.000000 0.000000 0.000000
43 0 0.000000 0.000000 0.000000
44 0 0.000000 0.000000 0.000000
45 0 0.000000 0.000000 0.000000
46 0 0.000000 0.000000 0.000000
47 0 0.000000 0.000000 0.000000
48 0 0.000000 0.000000 0.000000
49 0 0.000000 0.000000 0.000000

0 1 0.000000 0.000000 0.000000
1 1 0.120670 0.004940 0.003583
2 1 0.121180 0.002352 0.007290
3 1 0.120617 0.000785 0.010842
4 1 0.119138 -0.000062 0.014182
5 1 0.117927 -0.000627 0.017736
6 1 0.117016 -0.000603 0.020823
7 1 0.115527 -0.000644 0.023595
8 1 0.115074 -0.001165 0.026955
9 1 0.115356 -0.001125 0.029763
10 1 0.114264 -0.000991 0.031821
11 1 0.113848 -0.001712 0.034818
12 1 0.115122 -0.001869 0.037763
13 1 0.114565 -0.001014 0.039101
14 1 0.112742 -0.001023 0.040833
15 1 0.113454 -0.001577 0.043820
16 1 0.114264 -0.000609 0.045293
17 1 0.111347 0.000950 0.044983
18 1 0.108178 0.000950 0.045916
19 1 0.108128 0.000539 0.047789
20 1 0.106913 0.001880 0.047321
21 1 0.100997 0.003908 0.044779
22 1 0.094400 0.004385 0.043315
23 1 0.090700 0.003817 0.042845
24 1 0.086524 0.004258 0.040416
25 1 0.078113 0.005968 0.035632
26 1 0.067553 0.007586 0.030883
27 1 0.058086 0.008425 0.026786
28 1 0.048468 0.008792 0.021431
29 1 0.036170 0.008741 0.014202
30 1 0.022615 0.007971 0.007120
31 1 0.011173 0.006783 0.001604
32 1 0.001734 0.006058 -0.003760
33 1 -0.009153 0.006147 -0.010979
34 1 -0.023000 0.006407 -0.019555
35 1 -0.037018 0.006072 -0.027031
36 1 -0.047803 0.005179 -0.032129
37 1 -0.055667 0.004377 -0.036021
38 1 -0.064160 0.003999 -0.040120
39 1 -0.076243 0.003647 -0.043220
40 1 -0.092393 0.002719 -0.041432
41 1 -0.112038 0.001239 -0.031636
42 1 -0.133891 0.000128 -0.016341
43 1 -0.152049 0.000499 -0.005510
44 1 -0.154381 0.002271 -0.010013
45 1 -0.133254 0.003629 -0.028810
46 1 -0.099151 0.002961 -0.047109
47 1 -0.069267 0.001334 -0.055910
48 1 -0.040217 0.000668 -0.063547
49 1 0.000000 0.000000 0.000000

0 2 0.000000 0.000000 0.000000
1 2 0.107142 0.014306 0.003335
2 2 0.109838 0.010500 0.006692
3 2 0.111956 0.006381 0.010219
4 2 0.113261 0.002431 0.013511
5 2 0.112985 -0.001300 0.016512
6 2 0.112217 -0.004316 0.019768
7 2 0.111143 -0.006199 0.022544
8 2 0.108782 -0.007489 0.024804
9 2 0.106913 -0.008013 0.027620
10 2 0.106226 -0.007436 0.030232
11 2 0.104610 -0.006580 0.031932
12 2 0.102948 -0.005640 0.034093
13 2 0.103303 -0.004034 0.036829
14 2 0.103617 -0.002211 0.038545
15 2 0.102087 -0.000709 0.039541
16 2 0.101016 0.000929 0.041289
17 2 0.101569 0.002778 0.043210
18 2 0.101081 0.004378 0.043790
19 2 0.097983 0.005954 0.043281
20 2 0.094242 0.007694 0.042964
21 2 0.091682 0.008917 0.042991
22 2 0.089156 0.009548 0.042260
23 2 0.084207 0.010703 0.039819
24 2 0.076184 0.012519 0.035974
25 2 0.067184 0.013333 0.032092
26 2 0.059866 0.012268 0.029106
27 2 0.054336 0.010896 0.026273
28 2 0.047885 0.011101 0.021991
29 2 0.038206 0.012547 0.015814
30 2 0.025981 0.013527 0.008895
31 2 0.013522 0.013439 0.002323
32 2 0.001708 0.013152 -0.004168
33 2 -0.010429 0.013254 -0.011337
34 2 -0.023390 0.013124 -0.018931
35 2 -0.035866 0.012003 -0.025762
36 2 -0.046298 0.010196 -0.031164
37 2 -0.055017 0.008707 -0.035638
38 2 -0.064142 0.007904 -0.039641
39 2 -0.075735 0.007028 -0.041901
40 2 -0.090825 0.005109 -0.039398
41 2 -0.109824 0.002305 -0.029930
42 2 -0.131512 0.000302 -0.016053
43 2 -0.149419 0.001057 -0.006600
44 2 -0.151652 0.004370 -0.010906
45 2 -0.131396 0.006907 -0.027919
46 2 -0.098264 0.005693 -0.045077
47 2 -0.067644 0.002618 -0.054661
48 2 -0.037885 0.001248 -0.062879
49 2 0.000000 0.000000 0.000000

0 3 0.000000 0.000000 0.000000
1 3 0.093561 0.016023 0.002947
2 3 0.093058 0.010275 0.005718
3 3 0.091589 0.005299 0.008505
4 3 0.090599 0.001326 0.011366
5 3 0.089482 -0.001620 0.013613
6 3 0.088557 -0.004185 0.016208
7 3 0.089373 -0.005896 0.019086
8 3 0.089794 -0.006669 0.021021
9 3 0.089687 -0.007456 0.023370
10 3 0.091532 -0.007744 0.026476
11 3 0.093011 -0.006926 0.028396
12 3 0.092567 -0.006068 0.030069
13 3 0.093631 -0.005380 0.033040
14 3 0.095753 -0.003785 0.035348
15 3 0.095310 -0.001549 0.036200
16 3 0.094204 0.000224 0.037860
17 3 0.095250 0.001797 0.040213
18 3 0.095497 0.004044 0.040921
19 3 0.092811 0.006704 0.040554
20 3 0.090295 0.008878 0.041125
21 3 0.089215 0.010433 0.041635
22 3 0.086257 0.012069 0.040141
23 3 0.080354 0.014227 0.037623
24 3 0.074659 0.016411 0.035920
25 3 0.070224 0.017826 0.034156
26 3 0.063857 0.018520 0.030286
27 3 0.053569 0.019342 0.024504
28 3 0.041630 0.020621 0.018712
29 3 0.030873 0.021551 0.013619
30 3 0.021123 0.021295 0.008273
31 3 0.010683 0.020193 0.002004
32 3 -0.000713 0.019290 -0.004648
33 3 -0.011945 0.018902 -0.010970
34 3 -0.022439 0.018293 -0.017015
35 3 -0.032691 0.016799 -0.023168
36 3 -0.043150 0.014759 -0.029309
37 3 -0.053555 0.013008 -0.034718
38 3 -0.063672 0.011697 -0.038425
39 3 -0.074374 0.009973 -0.039220
40 3 -0.087780 0.006967 -0.035591
41 3 -0.105811 0.003121 -0.026831
42 3 -0.127127 0.000575 -0.015522
43 3 -0.144273 0.001686 -0.008511
44 3 -0.146044 0.006091 -0.012430
45 3 -0.127345 0.009485 -0.026205
46 3 -0.096261 0.007980 -0.041265
47 3 -0.064699 0.003836 -0.052264
48 3 -0.033779 0.001721 -0.061631
49 3 0.000000 0.000000 0.000000

0 4 0.000000 0.000000 0.000000
1 4 0.067288 0.017470 0.002233
2 4 0.067213 0.010418 0.004436
3 4 0.066556 0.004772 0.006314
4 4 0.065943 0.000196 0.008458
5 4 0.066064 -0.003117 0.010443
6 4 0.065616 -0.005606 0.011984
7 4 0.065630 -0.007638 0.014115
8 4 0.066821 -0.008708 0.016201
9 4 0.067259 -0.009111 0.017704
10 4 0.067715 -0.009249 0.019780
11 4 0.069500 -0.008666 0.022136
12 4 0.070956 -0.007398 0.023906
13 4 0.071731 -0.005837 0.025772
14 4 0.073060 -0.003906 0.027924
15 4 0.074557 -0.001677 0.029804
16 4 0.075711 0.000739 0.031605
17 4 0.076520 0.003594 0.033153
18 4 0.076242 0.006563 0.033904
19 4 0.075385 0.008932 0.034702
20 4 0.075580 0.011152 0.036098
21 4 0.075330 0.014194 0.036317
22 4 0.071526 0.017459 0.034333
23 4 0.065752 0.019450 0.032386
24 4 0.062449 0.020279 0.032160
25 4 0.060844 0.021618 0.031363
26 4 0.055464 0.024204 0.027315
27 4 0.044970 0.026853 0.021400
28 4 0.034330 0.028064 0.016839
29 4 0.027101 0.027638 0.013751
30 4 0.020625 0.026480 0.009437
31 4 0.010928 0.025465 0.002757
32 4 -0.001312 0.024779 -0.004362
