#:x t E B
0 0.0 0.0 0.0
1 0.0 0.0 0.0
2 0.0 0.0 0.0
3 0.0 0.0 0.0
4 0.0 0.0 0.0
5 0.0 0.0 0.0
6 0.0 0.0 0.0
7 0.0 0.0 0.0
8 0.0 0.0 0.0
9 0.0 0.0 0.0
10 0.0 0.0 0.0
11 0.0 0.0 0.0
12 0.0 0.0 0.0
13 0.0 0.0 0.0
14 0.0 0.0 0.0
15 0.0 0.0 0.0
16 0.0 0.0 0.0
17 0.0 0.0 0.0
18 0.0 0.0 0.0
19 0.0 0.0 0.0
20 0.0 0.0 0.0
21 0.0 0.0 0.0
22 0.0 0.0 0.0
23 0.0 0.0 0.0
24 0.0 0.0 0.0
25 0.0 0.0 0.0
26 0.0 0.0 0.0
27 0.0 0.0 0.0
28 0.0 0.0 0.0
29 0.0 0.0 0.0
30 0.0 0.0 0.0
31 0.0 0.0 0.0
32 0.0 0.0 0.0
33 0.0 0.0 0.0
34 0.0 0.0 0.0
35 0.0 0.0 0.0
36 0.0 0.0 0.0
37 0.0 0.0 0.0
38 0.0 0.0 0.0
39 0.0 0.0 0.0
40 0.0 0.0 0.0
41 0.0 0.0 0.0
42 0.0 0.0 0.0
43 0.0 0.0 0.0
44 0.0 0.0 0.0
45 0.0 0.0 0.0
46 0.0 0.0 0.0
47 0.0 0.0 0.0
48 0.0 0.0 0.0
49 0.0 0.0 0.0

0 0.05 -0.0728143666343 0.016872917692
1 0.05 -0.00170423045759 0.000272311649957
2 0.05 -1.37590833303e-05 1.76815612455e-06
3 0.05 -4.46189059693e-08 4.95668437271e-09
4 0.05 -4.99791692707e-11 4.99791692707e-12
5 0.05 0.0 0.0
6 0.05 0.0 0.0
7 0.05 0.0 0.0
8 0.05 0.0 0.0
9 0.05 0.0 0.0
10 0.05 0.0 0.0
11 0.05 0.0 0.0
12 0.05 0.0 0.0
13 0.05 0.0 0.0
14 0.05 0.0 0.0
15 0.05 0.0 0.0
16 0.05 0.0 0.0
17 0.05 0.0 0.0
18 0.05 0.0 0.0
19 0.05 0.0 0.0
20 0.05 0.0 0.0
21 0.05 0.0 0.0
22 0.05 0.0 0.0
23 0.05 0.0 0.0
24 0.05 0.0 0.0
25 0.05 0.0 0.0
26 0.05 0.0 0.0
27 0.05 0.0 0.0
28 0.05 0.0 0.0
29 0.05 0.0 0.0
30 0.05 0.0 0.0
31 0.05 0.0 0.0
32 0.05 0.0 0.0
33 0.05 0.0 0.0
34 0.05 0.0 0.0
35 0.05 0.0 0.0
36 0.05 0.0 0.0
37 0.05 0.0 0.0
38 0.05 0.0 0.0
39 0.05 0.0 0.0
40 0.05 0.0 0.0
41 0.05 0.0 0.0
42 0.05 0.0 0.0
43 0.05 0.0 0.0
44 0.05 0.0 0.0
45 0.05 0.0 0.0
46 0.05 0.0 0.0
47 0.05 0.0 0.0
48 0.05 0.0 0.0
49 0.05 0.0 0.0

0 0.1 -0.245863890514 0.0963983802545
1 0.1 -0.0220951829112 0.00573990031582
2 0.1 -0.00078197404082 0.000156504319715
3 0.1 -1.39535539378e-05 2.32674402228e-06
4 0.1 -1.41862698006e-07 2.06389075199e-08
5 0.1 -8.71992944e-10 1.14033495575e-10
6 0.1 -3.29827922741e-12 3.95773488225e-13
7 0.1 -7.50269251931e-15 8.38478614884e-16
8 0.1 -9.40982835472e-18 9.9046221305e-19
9 0.1 -4.99791692707e-21 4.99791692707e-22
10 0.1 0.0 0.0
11 0.1 0.0 0.0
12 0.1 0.0 0.0
13 0.1 0.0 0.0
14 0.1 0.0 0.0
15 0.1 0.0 0.0
16 0.1 0.0 0.0
17 0.1 0.0 0.0
18 0.1 0.0 0.0
19 0.1 0.0 0.0
20 0.1 0.0 0.0
21 0.1 0.0 0.0
22 0.1 0.0 0.0
23 0.1 0.0 0.0
24 0.1 0.0 0.0
25 0.1 0.0 0.0
26 0.1 0.0 0.0
27 0.1 0.0 0.0
28 0.1 0.0 0.0
29 0.1 0.0 0.0
30 0.1 0.0 0.0
31 0.1 0.0 0.0
32 0.1 0.0 0.0
33 0.1 0.0 0.0
34 0.1 0.0 0.0
35 0.1 0.0 0.0
36 0.1 0.0 0.0
37 0.1 0.0 0.0
38 0.1 0.0 0.0
39 0.1 0.0 0.0
40 0.1 0.0 0.0
41 0.1 0.0 0.0
42 0.1 0.0 0.0
43 0.1 0.0 0.0
44 0.1 0.0 0.0
45 0.1 0.0 0.0
46 0.1 0.0 0.0
47 0.1 0.0 0.0
48 0.1 0.0 0.0
49 0.1 0.0 0.0

0 0.15 -0.47055169495 0.256304161179
1 0.15 -0.0922362432969 0.0332967193019
2 0.15 -0.00748040602314 0.00204124627282
3 0.15 -0.000315962027605 7.04946041789e-05
4 0.15 -7.96166669238e-06 1.52396235517e-06
5 0.15 -1.29871878697e-07 2.20147852713e-08
6 0.15 -1.4428742402e-09 2.21463329709e-10
7 0.15 -1.12630127229e-11 1.5909959665e-12
8 0.15 -6.28177062549e-14 8.26804381197e-15
9 0.15 -2.51465169298e-16 3.11381764463e-17
10 0.15 -7.16606213527e-19 8.41269537753e-20
11 0.15 -1.41840691238e-21 1.5886039209e-22
12 0.15 -1.85279350858e-24 1.98998745534e-25
13 0.15 -1.43577661125e-27 1.48525598883e-28
14 0.15 -4.99791692707e-31 4.99791692707e-32
15 0.15 0.0 0.0
16 0.15 0.0 0.0
17 0.15 0.0 0.0
18 0.15 0.0 0.0
19 0.15 0.0 0.0
20 0.15 0.0 0.0
21 0.15 0.0 0.0
22 0.15 0.0 0.0
23 0.15 0.0 0.0
24 0.15 0.0 0.0
25 0.15 0.0 0.0
26 0.15 0.0 0.0
27 0.15 0.0 0.0
28 0.15 0.0 0.0
29 0.15 0.0 0.0
30 0.15 0.0 0.0
31 0.15 0.0 0.0
32 0.15 0.0 0.0
