#:t M1mx M1my M1mz
0 0 1 0
0.05 0.000499994 0.999987 0.00499994
0.1 0.000999981 0.99995 0.00999975
0.15 0.00149996 0.999886 0.0149993
0.2 0.00199994 0.999798 0.0199985
0.25 0.0024999 0.999684 0.0249971
0.3 0.00299986 0.999546 0.0299951
0.35 0.00349981 0.999381 0.0349924
0.4 0.00399976 0.999192 0.0399887
0.45 0.00449969 0.998978 0.044984
0.5 0.00499962 0.998738 0.0499782
0.55 0.00549954 0.998473 0.0549711
0.6 0.00599944 0.998183 0.0599625
0.65 0.00649934 0.997867 0.0649524
0.7 0.00699923 0.997527 0.0699407
0.75 0.00749912 0.997161 0.0749271
0.8 0.00799899 0.99677 0.0799116
0.85 0.00849885 0.996354 0.0848941
0.9 0.0089987 0.995912 0.0898744
0.95 0.00949854 0.995446 0.0948523
1.0 0.00999837 0.994954 0.0998278
1.05 0.0104982 0.994438 0.104801
1.1 0.010998 0.993896 0.109771
1.15 0.0114978 0.993329 0.114738
1.2 0.0119976 0.992737 0.119703
1.25 0.0124973 0.99212 0.124664
1.3 0.0129971 0.991478 0.129623
1.35 0.0134968 0.990811 0.134577
1.4 0.0139966 0.990119 0.139529
1.45 0.0144963 0.989402 0.144477
1.5 0.014996 0.98866 0.149421
1.55 0.0154957 0.987893 0.154361
1.6 0.0159954 0.987101 0.159297
1.65 0.016495 0.986284 0.164229
1.7 0.0169947 0.985443 0.169157
1.75 0.0174943 0.984576 0.174081
1.8 0.0179939 0.983685 0.179
1.85 0.0184935 0.982768 0.183914
1.9 0.0189931 0.981827 0.188824
1.95 0.0194927 0.980861 0.193729
2.0 0.0199923 0.979871 0.198629
2.05 0.0204918 0.978856 0.203524
2.1 0.0209913 0.977816 0.208413
2.15 0.0214908 0.976751 0.213298
2.2 0.0219903 0.975662 0.218176
2.25 0.0224898 0.974548 0.223049
2.3 0.0229893 0.973409 0.227917
2.35 0.0234887 0.972246 0.232778
2.4 0.0239881 0.971059 0.237634
2.45 0.0244875 0.969847 0.242483
2.5 0.0249869 0.96861 0.247326
2.55 0.0254863 0.967349 0.252163
2.6 0.0259856 0.966064 0.256993
2.65 0.0264849 0.964754 0.261817
2.7 0.0269843 0.96342 0.266634
2.75 0.0274835 0.962062 0.271444
2.8 0.0279828 0.960679 0.276247
2.85 0.0284821 0.959272 0.281043
2.9 0.0289813 0.957841 0.285832
2.95 0.0294805 0.956386 0.290613
3.0 0.0299797 0.954907 0.295387
3.05 0.0304789 0.953404 0.300153
3.1 0.030978 0.951877 0.304912
3.15 0.0314771 0.950325 0.309663
3.2 0.0319762 0.94875 0.314406
3.25 0.0324753 0.947151 0.31914
3.3 0.0329744 0.945528 0.323867
3.35 0.0334734 0.943881 0.328585
3.4 0.0339724 0.94221 0.333295
3.45 0.0344714 0.940516 0.337996
3.5 0.0349704 0.938798 0.342688
3.55 0.0354693 0.937056 0.347372
3.6 0.0359682 0.935291 0.352046
3.65 0.0364671 0.933502 0.356712
3.7 0.036966 0.93169 0.361369
3.75 0.0374648 0.929854 0.366016
3.8 0.0379636 0.927995 0.370653
3.85 0.0384624 0.926112 0.375282
3.9 0.0389612 0.924207 0.3799
3.95 0.03946 0.922277 0.384509
4.0 0.0399587 0.920325 0.389108
4.05 0.0404574 0.91835 0.393697
4.1 0.040956 0.916351 0.398276
4.15 0.0414547 0.914329 0.402844
4.2 0.0419533 0.912285 0.407402
4.25 0.0424519 0.910217 0.41195
4.3 0.0429504 0.908127 0.416487
4.35 0.043449 0.906013 0.421013
4.4 0.0439475 0.903877 0.425529
4.45 0.0444459 0.901718 0.430034
4.5 0.0449444 0.899537 0.434527
4.55 0.0454428 0.897332 0.43901
4.6 0.0459412 0.895106 0.443481
4.65 0.0464395 0.892857 0.44794
4.7 0.0469379 0.890585 0.452388
4.75 0.0474362 0.888291 0.456825
4.8 0.0479344 0.885975 0.46125
4.85 0.0484327 0.883636 0.465663
4.9 0.0489309 0.881275 0.470064
4.95 0.0494291 0.878892 0.474453
5.0 0.0499272 0.876487 0.478829
5.05 0.0504253 0.87406 0.483194
5.1 0.0509234 0.871611 0.487546
5.15 0.0514215 0.86914 0.491885
5.2 0.0519195 0.866648 0.496212
5.25 0.0524175 0.864133 0.500526
5.3 0.0529155 0.861597 0.504827
5.35 0.0534134 0.859039 0.509115
5.4 0.0539113 0.85646 0.513391
5.45 0.0544091 0.853859 0.517653
5.5 0.054907 0.851237 0.521901
5.55 0.0554048 0.848593 0.526136
5.6 0.0559025 0.845929 0.530358
5.65 0.0564003 0.843243 0.534566
5.7 0.056898 0.840535 0.538761
5.75 0.0573956 0.837807 0.542941
5.8 0.0578932 0.835058 0.547108
5.85 0.0583908 0.832288 0.55126
5.9 0.0588884 0.829497 0.555399
5.95 0.0593859 0.826685 0.559523
6.0 0.0598834 0.823852 0.563632
6.05 0.0603808 0.820999 0.567728
6.1 0.0608782 0.818125 0.571808
6.15 0.0613756 0.815231 0.575874
6.2 0.061873 0.812317 0.579925
6.25 0.0623703 0.809382 0.583962
6.3 0.0628675 0.806426 0.587983
6.35 0.0633647 0.803451 0.591989
6.4 0.0638619 0.800456 0.59598
6.45 0.0643591 0.79744 0.599956
6.5 0.0648562 0.794405 0.603916
6.55 0.0653533 0.791349 0.607861
6.6 0.0658503 0.788274 0.61179
6.65 0.0663473 0.78518 0.615704
6.7 0.0668443 0.782065 0.619601
6.75 0.0673412 0.778931 0.623483
6.8 0.0678381 0.775778 0.627349
6.85 0.0683349 0.772605 0.631199
6.9 0.0688317 0.769413 0.635032
6.95 0.0693285 0.766202 0.638849
7.0 0.0698252 0.762971 0.64265
7.05 0.0703219 0.759722 0.646434
7.1 0.0708185 0.756454 0.650202
7.15 0.0713151 0.753166 0.653953
7.2 0.0718117 0.74986 0.657687
7.25 0.0723082 0.746535 0.661405
7.3 0.0728046 0.743192 0.665105
7.35 0.0733011 0.73983 0.668789
7.4 0.0737975 0.73645 0.672455
7.45 0.0742938 0.733051 0.676104
7.5 0.0747901 0.729634 0.679735
7.55 0.0752864 0.726199 0.683349
7.6 0.0757826 0.722746 0.686946
7.65 0.0762787 0.719275 0.690525
7.7 0.0767749 0.715786 0.694086
7.75 0.077271 0.712279 0.69763
7.8 0.077767 0.708755 0.701156
7.85 0.078263 0.705212 0.704663
7.9 0.0787589 0.701653 0.708153
7.95 0.0792548 0.698076 0.711624
8.0 0.0797507 0.694481 0.715078
8.05 0.0802465 0.690869 0.718512
8.1 0.0807423 0.68724 0.721929
8.15 0.081238 0.683594 0.725327
8.2 0.0817337 0.679931 0.728706
8.25 0.0822293 0.676252 0.732067
8.3 0.0827249 0.672555 0.735409
8.35 0.0832204 0.668842 0.738732
8.4 0.0837159 0.665112 0.742036
8.45 0.0842114 0.661366 0.745321
8.5 0.0847067 0.657603 0.748587
8.55 0.0852021 0.653824 0.751834
8.6 0.0856974 0.650029 0.755062
8.65 0.0861926 0.646218 0.75827
8.7 0.0866878 0.64239 0.761459
8.75 0.087183 0.638547 0.764628
8.8 0.0876781 0.634688 0.767778
8.85 0.0881731 0.630814 0.770908
8.9 0.0886681 0.626923 0.774019
8.95 0.0891631 0.623018 0.777109
9.0 0.089658 0.619097 0.78018
9.05 0.0901528 0.61516 0.783231
9.1 0.0906476 0.611209 0.786261
9.15 0.0911424 0.607242 0.789272
9.2 0.0916371 0.603261 0.792262
9.25 0.0921317 0.599264 0.795232
9.3 0.0926263 0.595253 0.798182
9.35 0.0931209 0.591227 0.801111
9.4 0.0936154 0.587187 0.80402
9.45 0.0941098 0.583132 0.806908
9.5 0.0946042 0.579062 0.809776
9.55 0.0950985 0.574979 0.812623
9.6 0.0955928 0.570881 0.815449
9.65 0.096087 0.56677 0.818254
9.7 0.0965812 0.562644 0.821038
9.75 0.0970753 0.558505 0.823801
9.8 0.0975694 0.554352 0.826544
9.85 0.0980634 0.550185 0.829265
9.9 0.0985574 0.546005 0.831964
9.95 0.0990513 0.541812 0.834643
10.0 0.0995451 0.537605 0.8373
10.05 0.100039 0.533385 0.839936
10.1 0.100533 0.529152 0.842551
10.15 0.101026 0.524906 0.845143
10.2 0.10152 0.520647 0.847715
10.25 0.102014 0.516376 0.850264
10.3 0.102507 0.512092 0.852792
10.35 0.103001 0.507795 0.855298
10.4 0.103494 0.503486 0.857782
10.45 0.103987 0.499165 0.860245
10.5 0.104481 0.494832 0.862685
10.55 0.104974 0.490486 0.865103
10.6 0.105467 0.486129 0.867499
10.65 0.10596 0.48176 0.869873
10.7 0.106453 0.477379 0.872225
10.75 0.106946 0.472987 0.874555
10.8 0.107439 0.468583 0.876862
10.85 0.107932 0.464167 0.879147
10.9 0.108425 0.459741 0.881409
10.95 0.108918 0.455303 0.883649
11.0 0.10941 0.450855 0.885867
11.05 0.109903 0.446395 0.888061
11.1 0.110395 0.441925 0.890233
11.15 0.110888 0.437444 0.892383
11.2 0.11138 0.432952 0.894509
11.25 0.111873 0.42845 0.896613
11.3 0.112365 0.423938 0.898694
11.35 0.112858 0.419415 0.900752
11.4 0.11335 0.414883 0.902787
11.45 0.113842 0.41034 0.904799
11.5 0.114334 0.405788 0.906788
11.55 0.114826 0.401226 0.908754
11.6 0.115318 0.396654 0.910696
11.65 0.11581 0.392073 0.912616
11.7 0.116302 0.387482 0.914512
11.75 0.116794 0.382882 0.916385
11.8 0.117285 0.378273 0.918234
11.85 0.117777 0.373655 0.92006
11.9 0.118268 0.369028 0.921863
11.95 0.11876 0.364393 0.923642
12.0 0.119251 0.359748 0.925397
12.05 0.119743 0.355095 0.927129
12.1 0.120234 0.350434 0.928838
