#:T Omega Ix Iy t1 t2 calc_time t_count
0.1 0.1 1554.59590945 -275.08176897 80.0 3140.0 99.7627718449 62800.0000001
0.1 0.2 686.173962591 -15.094629603 80.0 1570.0 49.5198919773 31401.0
0.1 0.3 544.890668985 19.7060816414 80.0 1046.66666667 33.5766351223 20934.0
0.1 0.4 434.539273372 -58.123575006 80.0 785.0 25.2319149971 15701.0
0.1 0.5 301.624483776 -61.1713399192 80.0 628.0 20.2291150093 12561.0
0.1 0.6 273.791939687 -15.3593434661 80.0 523.333333333 16.729279995 10467.0
0.1 0.7 276.040019382 -51.3376099727 80.0 448.571428571 14.3099110126 8972.0
0.1 0.8 282.080931842 -13.8063939349 80.0 392.5 12.6385478973 7850.0
0.1 0.9 314.586223993 -41.0233533193 80.0 348.888888889 11.215241909 6978.0
0.1 1.0 -556.101998972 -1009.59354717 80.0 314.0 10.1073942184 6280.0
0.1 1.1 -528.828867803 -742.630112188 80.0 285.454545455 9.18088197708 5710.0
0.1 1.2 -455.014060394 -495.502309727 80.0 261.666666667 8.41449093819 5234.0
0.1 1.3 -371.452519457 -312.040175151 80.0 241.538461538 7.76415395737 4831.0
0.1 1.4 -285.880128604 -170.783605828 80.0 224.285714286 7.20674109459 4486.0
0.1 1.5 -196.263129833 -65.2053525401 80.0 209.333333333 6.69466209412 4187.0
0.1 1.6 -109.927954304 -23.575543616 80.0 196.25 6.31493997574 3925.0
0.1 1.7 -70.3520349372 -24.5837012867 80.0 184.705882353 5.93771290779 3695.0
0.1 1.8 -61.0884774592 -12.5119967447 80.0 174.444444444 5.60938191414 3489.0
0.1 1.9 -38.7836268775 5.25952125898 80.0 165.263157895 5.31294107437 3306.0
0.1 2.0 -15.1018095369 -0.297180789898 80.0 157.0 5.06248402596 3140.0

0.2 0.1 2304.76198694 90.4652317591 80.0 3140.0 99.6809089184 62800.0000001
0.2 0.2 1198.84645748 -77.1480385699 80.0 1570.0 50.050000906 31401.0
0.2 0.3 714.328715472 -94.4343363523 80.0 1046.66666667 33.3491549492 20934.0
0.2 0.4 530.665562615 -12.177764617 80.0 785.0 25.2388939857 15701.0
0.2 0.5 499.9199284 -13.8560730234 80.0 628.0 20.1771738529 12561.0
0.2 0.6 435.441397603 -103.189275311 80.0 523.333333333 16.861371994 10467.0
0.2 0.7 339.019625203 -62.5198694024 80.0 448.571428571 14.4330778122 8972.0
