#:T Omega Ix Iy t1 t2 calc_time t_count
0.05 0.05 1114.16220459 -6.29125519427 50.0 2562.0 40.5490510464 25621.0
0.05 0.1 560.516938948 -7.96935865229 50.0 1306.0 20.6403980255 13061.0
0.05 0.15 377.60651819 -8.30531101073 50.0 887.333333333 14.0880179405 8874.0
0.05 0.2 287.993977896 -8.35877108381 50.0 678.0 10.7382950783 6780.0
0.05 0.25 235.057735675 -8.43908598739 50.0 552.4 8.72577095032 5524.0
0.05 0.3 200.727754421 -9.24472341407 50.0 468.666666667 7.46369719505 4687.0
0.05 0.35 177.337545742 -9.15651403958 50.0 408.857142857 6.50735497475 4089.0
0.05 0.4 161.103513898 -9.89363235944 50.0 364.0 5.81584000587 3640.0
0.05 0.45 149.483686183 -10.8636209485 50.0 329.111111111 5.27505683899 3292.0
0.05 0.5 141.336584847 -11.8315927734 50.0 301.2 4.76657104492 3013.0
0.05 0.55 136.63009051 -12.981874587 50.0 278.363636364 4.44046592712 2784.0
0.05 0.6 133.91236402 -14.3395033496 50.0 259.333333333 4.12566399574 2594.0
0.05 0.65 133.673082439 -16.7415611248 50.0 243.230769231 3.87349915504 2433.0
0.05 0.7 135.427010425 -20.1537871934 50.0 229.428571429 3.63230085373 2295.0
0.05 0.75 140.699124517 -24.035066076 50.0 217.466666667 3.44764995575 2175.0
0.05 0.8 149.250511164 -30.6141404029 50.0 207.0 3.29195713997 2071.0
0.05 0.85 160.950477361 -40.3131948675 50.0 197.764705882 3.14773702621 1978.0
0.05 0.9 178.547713044 -55.52843528 50.0 189.555555556 3.01962304115 1896.0
0.05 0.95 198.225681048 -81.0800480298 50.0 182.210526316 2.90159511566 1823.0
0.05 1.0 215.392075647 -119.034211645 50.0 175.6 2.78987193108 1757.0
0.05 1.05 222.450267683 -166.645171567 50.0 169.619047619 2.71449184418 1697.0
0.05 1.1 208.780247993 -221.143762399 50.0 164.181818182 2.60207986832 1642.0
0.05 1.15 137.399176794 -272.933992322 50.0 159.217391304 2.52671909332 1593.0
0.05 1.2 -62.6987337049 -193.37879216 50.0 154.666666667 2.4593770504 1547.0
0.05 1.25 -115.762593022 -56.5987832914 50.0 150.48 2.39432096481 1505.0
0.05 1.3 -88.7287035802 -19.5547342389 50.0 146.615384615 2.32177090645 1467.0
0.05 1.35 -68.9224351595 -10.3909367692 50.0 143.037037037 2.25803399086 1431.0
0.05 1.4 -54.7141267117 -6.24591754794 50.0 139.714285714 2.21013188362 1398.0
0.05 1.45 -45.1623196232 -3.93949211303 50.0 136.620689655 2.1643409729 1367.0
0.05 1.5 -37.8438550941 -2.39776243436 50.0 133.733333333 2.11888384819 1338.0
0.05 1.55 -32.0579499876 -1.52862006248 50.0 131.032258065 2.07968401909 1311.0
0.05 1.6 -27.8878687778 -0.915593357119 50.0 128.5 2.04960894585 1286.0
0.05 1.65 -24.0925058377 -0.552396635976 50.0 126.121212121 2.0124130249 1262.0
0.05 1.7 -21.1829100617 -0.25800314436 50.0 123.882352941 1.95913290977 1239.0
0.05 1.75 -18.7675141401 -0.0615565898675 50.0 121.771428571 1.93326807022 1218.0
0.05 1.8 -16.7327208217 -0.0401704806326 50.0 119.777777778 1.89872908592 1198.0
0.05 1.85 -14.9024323949 0.132994860885 50.0 117.891891892 1.87223505974 1179.0
0.05 1.9 -13.3875711148 0.206224248995 50.0 116.105263158 1.84068393707 1162.0
0.05 1.95 -12.0903447284 0.199936460621 50.0 114.41025641 1.80908703804 1145.0
0.05 2.0 -11.0263013775 0.402749339488 50.0 112.8 1.79115891457 1129.0

0.1 0.05 1025.47049355 -6.65353145432 50.0 2562.0 40.4783270359 25621.0
0.1 0.1 515.593975369 -7.23804257618 50.0 1306.0 20.8292298317 13061.0
0.1 0.15 347.51803698 -7.69077587073 50.0 887.333333333 14.1272501945 8874.0
0.1 0.2 264.784462038 -8.03204210744 50.0 678.0 10.7881550789 6780.0
0.1 0.25 216.046070343 -7.58925572805 50.0 552.4 8.79794812202 5524.0
0.1 0.3 183.996814988 -7.51688700954 50.0 468.666666667 7.44972205162 4687.0
0.1 0.35 162.482825294 -8.06890785856 50.0 408.857142857 6.54868912697 4089.0
0.1 0.4 146.82915195 -8.73481697864 50.0 364.0 5.80143499374 3640.0
0.1 0.45 135.941163489 -9.26925780931 50.0 329.111111111 5.23506093025 3292.0
0.1 0.5 128.253398294 -10.1708449325 50.0 301.2 4.78614711761 3013.0
0.1 0.55 122.479180566 -11.2356544582 50.0 278.363636364 4.41479802132 2784.0
0.1 0.6 119.890484928 -12.1025614148 50.0 259.333333333 4.10821199417 2594.0
0.1 0.65 119.093088311 -13.85015329 50.0 243.230769231 3.86445593834 2433.0
0.1 0.7 119.352986814 -16.2913402758 50.0 229.428571429 3.63137698174 2295.0
0.1 0.75 122.251783668 -19.7577408212 50.0 217.466666667 3.45968198776 2175.0
0.1 0.8 128.763095863 -24.0572263557 50.0 207.0 3.27339720726 2071.0
0.1 0.85 136.961110198 -31.4977776474 50.0 197.764705882 3.13187408447 1978.0
0.1 0.9 149.182066698 -42.5997385247 50.0 189.555555556 2.99575400352 1896.0
0.1 0.95 165.160789365 -59.0016129922 50.0 182.210526316 2.88320589066 1823.0
0.1 1.0 180.8453477 -88.8542227603 50.0 175.6 2.79581093788 1757.0
0.1 1.05 190.596594607 -129.565654173 50.0 169.619047619 2.70004701614 1697.0
0.1 1.1 182.48172789 -178.358208482 50.0 164.181818182 2.59959101677 1642.0
0.1 1.15 134.533729145 -227.368852114 50.0 159.217391304 2.51206898689 1593.0
0.1 1.2 13.1994205541 -221.320969317 50.0 154.666666667 2.44711899757 1547.0
0.1 1.25 -88.4397652059 -128.776610167 50.0 150.48 2.38506197929 1505.0
0.1 1.3 -98.0543644413 -54.2280485873 50.0 146.615384615 2.32449698448 1467.0
0.1 1.35 -81.193896344 -23.8878018125 50.0 143.037037037 2.26874089241 1431.0
0.1 1.4 -64.2908521135 -11.8570280816 50.0 139.714285714 2.21462798119 1398.0
0.1 1.45 -51.4727908765 -6.7201106461 50.0 136.620689655 2.15728116035 1367.0
0.1 1.5 -42.1548364774 -3.85287368606 50.0 133.733333333 2.12426400185 1338.0
0.1 1.55 -35.5123464676 -2.40011849239 50.0 131.032258065 2.08689403534 1311.0
0.1 1.6 -30.3040691324 -1.618299039 50.0 128.5 2.03947997093 1286.0
0.1 1.65 -26.0789858008 -1.01846512582 50.0 126.121212121 2.00460290909 1262.0
0.1 1.7 -22.4271436383 -0.582446528858 50.0 123.882352941 1.96194195747 1239.0
0.1 1.75 -19.8786604235 -0.289814740126 50.0 121.771428571 1.92625498772 1218.0
0.1 1.8 -17.7662271226 -0.116884590455 50.0 119.777777778 1.90555596352 1198.0
0.1 1.85 -15.6595196229 -0.0225328641824 50.0 117.891891892 1.86656808853 1179.0
0.1 1.9 -14.1655631375 0.130328054785 50.0 116.105263158 1.84352493286 1162.0
0.1 1.95 -12.5929974236 0.290696829469 50.0 114.41025641 1.81602692604 1145.0
0.1 2.0 -11.6142639062 0.256082168938 50.0 112.8 1.79192996025 1129.0

0.15 0.05 961.600302136 -6.69259467808 50.0 2562.0 40.5333960056 25621.0
0.15 0.1 483.198068219 -6.47421263526 50.0 1306.0 20.6602530479 13061.0
0.15 0.15 325.352527524 -6.22398401704 50.0 887.333333333 14.0610148907 8874.0
0.15 0.2 246.851418764 -7.03148022167 50.0 678.0 10.7890729904 6780.0
0.15 0.25 201.304196967 -6.62670352965 50.0 552.4 8.74099397659 5524.0
0.15 0.3 171.649084016 -7.12213804285 50.0 468.666666667 7.42681002617 4687.0
0.15 0.35 150.369801076 -7.14181710552 50.0 408.857142857 6.47562909126 4089.0
0.15 0.4 136.034085314 -7.64852338812 50.0 364.0 5.75946688652 3640.0
0.15 0.45 125.393578239 -8.45339218621 50.0 329.111111111 5.26529622078 3292.0
0.15 0.5 117.856762088 -9.34523230383 50.0 301.2 4.77500200272 3013.0
0.15 0.55 112.335241009 -10.0434289063 50.0 278.363636364 4.40843296051 2784.0
0.15 0.6 109.117797738 -10.8332378481 50.0 259.333333333 4.1043920517 2594.0
0.15 0.65 108.090112348 -12.1030940634 50.0 243.230769231 3.85435199738 2433.0
