#:T I
0.05 1.57361095333
0.1 1.12129416461
0.15 0.953367144009
0.2 0.898321776978
0.25 0.928693056443
0.3 0.975568011221
0.35 1.04573356605
0.4 1.09483250863
0.45 1.1429263265
0.5 1.22229679068
0.55 1.28521479133
0.6 1.2845623442
0.65 1.31611579748
0.7 1.35979002857
0.75 1.3676176533
0.8 1.40689176932
0.85 1.3826301673
0.9 1.40024629404
0.95 1.38191054147
1.0 1.39906410154
1.05 1.43554564344
1.1 1.39628715202
1.15 1.38124376885
1.2 1.39627203255
1.25 1.37427842492
1.3 1.37063242413
1.35 1.34359040651
1.4 1.33254856815
1.45 1.32518443855
1.5 1.31487549984
1.55 1.31822863312
1.6 1.28532265815
1.65 1.31920405999
1.7 1.25416528741
1.75 1.26547692405
1.8 1.21821003474
1.85 1.23399529667
1.9 1.14831980106
1.95 1.22239686645
2.0 1.2744603067
