#:T Omega Ix Iy t1 t2 calc_time t_count
0.1 0.1 2514.24064817 -34.2924549156 80.0 3140.0 99.8650870323 62800.0000001
0.1 0.2 1258.21398555 -26.8370827286 80.0 1570.0 49.8935089111 31401.0
0.1 0.3 849.606524204 -33.2621600733 80.0 1046.66666667 33.1664330959 20934.0
0.1 0.4 661.044787482 -31.838671375 80.0 785.0 24.8598840237 15701.0
0.1 0.5 558.368467453 -38.5659574664 80.0 628.0 20.0940139294 12561.0
0.1 0.6 508.961476179 -45.5808355973 80.0 523.333333333 16.7532601357 10467.0
0.1 0.7 491.250362082 -59.145866366 80.0 448.571428571 14.2569410801 8972.0
0.1 0.8 515.799850831 -88.7056543787 80.0 392.5 12.4837710857 7850.0
0.1 0.9 580.454149836 -151.153180458 80.0 348.888888889 11.0702729225 6978.0
0.1 1.0 687.605407389 -315.976017358 80.0 314.0 9.94359707832 6280.0
0.1 1.1 672.794288365 -638.355110391 80.0 285.454545455 9.06139111519 5710.0
0.1 1.2 76.0508417296 -774.633411785 80.0 261.666666667 8.38723182678 5234.0
0.1 1.3 -323.699091973 -194.106169946 80.0 241.538461538 7.69428610802 4831.0
0.1 1.4 -201.865071055 -44.5925693644 80.0 224.285714286 7.17453098297 4486.0
0.1 1.5 -129.493804279 -16.8297465136 80.0 209.333333333 6.69999194145 4187.0
0.1 1.6 -88.281247356 -7.89940820965 80.0 196.25 6.2926838398 3925.0
0.1 1.7 -63.532014231 -3.94256026511 80.0 184.705882353 5.90798306465 3695.0
0.1 1.8 -47.33845173 -2.05123080342 80.0 174.444444444 5.55877304077 3489.0
0.1 1.9 -36.4097781645 -0.829924777587 80.0 165.263157895 5.27980208397 3306.0
0.1 2.0 -27.7534233029 -0.521087472577 80.0 157.0 5.01362299919 3140.0

0.2 0.1 2226.65336894 -33.5803142051 80.0 3140.0 99.8503770828 62800.0000001
0.2 0.2 1113.60874468 -24.4991391388 80.0 1570.0 49.7574858665 31401.0
0.2 0.3 747.785279233 -26.5637528913 80.0 1046.66666667 33.1897950172 20934.0
0.2 0.4 577.696074866 -26.5814900006 80.0 785.0 25.1211850643 15701.0
