#:x y Ey Bx Bz
0 0 0.000000 0.000000 0.000000
1 0 0.000000 0.000000 0.000000
2 0 0.000000 0.000000 0.000000
3 0 0.000000 0.000000 0.000000
4 0 0.000000 0.000000 0.000000
5 0 0.000000 0.000000 0.000000
6 0 0.000000 0.000000 0.000000
7 0 0.000000 0.000000 0.000000
8 0 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000
20 0 0.000000 0.000000 0.000000
21 0 0.000000 0.000000 0.000000
22 0 0.000000 0.000000 0.000000
23 0 0.000000 0.000000 0.000000
24 0 0.000000 0.000000 0.000000
25 0 0.000000 0.000000 0.000000
26 0 0.000000 0.000000 0.000000
27 0 0.000000 0.000000 0.000000
28 0 0.000000 0.000000 0.000000
29 0 0.000000 0.000000 0.000000
30 0 0.000000 0.000000 0.000000
31 0 0.000000 0.000000 0.000000
32 0 0.000000 0.000000 0.000000
33 0 0.000000 0.000000 0.000000
34 0 0.000000 0.000000 0.000000
35 0 0.000000 0.000000 0.000000
36 0 0.000000 0.000000 0.000000
37 0 0.000000 0.000000 0.000000
38 0 0.000000 0.000000 0.000000
39 0 0.000000 0.000000 0.000000
40 0 0.000000 0.000000 0.000000
41 0 0.000000 0.000000 0.000000
42 0 0.000000 0.000000 0.000000
43 0 0.000000 0.000000 0.000000
44 0 0.000000 0.000000 0.000000
45 0 0.000000 0.000000 0.000000
46 0 0.000000 0.000000 0.000000
47 0 0.000000 0.000000 0.000000
48 0 0.000000 0.000000 0.000000
49 0 0.000000 0.000000 0.000000

0 1 0.000000 0.000000 0.000000
1 1 0.002908 -0.001777 0.001777
2 1 0.005414 -0.003718 0.001941
3 1 0.007054 -0.005936 0.002217
4 1 0.007208 -0.008434 0.002498
5 1 0.005187 -0.011025 0.002591
6 1 0.000272 -0.013276 0.002251
7 1 -0.007930 -0.014421 0.001145
8 1 -0.019035 -0.013478 -0.000943
9 1 -0.031423 -0.009408 -0.004070
10 1 -0.041592 -0.001682 -0.007726
11 1 -0.044841 0.009056 -0.010738
12 1 -0.036253 0.020396 -0.011341
13 1 -0.013886 0.027994 -0.007598
14 1 0.017564 0.027146 0.000848
15 1 0.046437 0.015442 0.011704
16 1 0.056894 -0.004272 0.019714
17 1 0.039325 -0.022723 0.018451
18 1 0.003145 -0.029392 0.006669
19 1 -0.027746 -0.021344 -0.008048
20 1 -0.036270 -0.005562 -0.015782
21 1 -0.024873 0.007933 -0.013495
22 1 -0.007646 0.013821 -0.005888
23 1 0.004169 0.012984 0.000837
24 1 0.008030 0.009098 0.003885
25 1 0.006893 0.005190 0.003908
26 1 0.004307 0.002509 0.002682
27 1 0.002181 0.001052 0.001457
28 1 0.000936 0.000388 0.000663
29 1 0.000349 0.000128 0.000261
30 1 0.000115 0.000038 0.000090
31 1 0.000034 0.000010 0.000028
32 1 0.000009 0.000002 0.000008
33 1 0.000002 0.000001 0.000002
34 1 0.000000 0.000000 0.000000
35 1 0.000000 0.000000 0.000000
36 1 0.000000 0.000000 0.000000
37 1 0.000000 0.000000 0.000000
38 1 0.000000 0.000000 0.000000
39 1 0.000000 0.000000 0.000000
40 1 0.000000 0.000000 0.000000
41 1 0.000000 0.000000 0.000000
42 1 0.000000 0.000000 0.000000
43 1 0.000000 0.000000 0.000000
44 1 0.000000 0.000000 0.000000
45 1 0.000000 0.000000 0.000000
46 1 0.000000 0.000000 0.000000
47 1 0.000000 0.000000 0.000000
48 1 0.000000 0.000000 0.000000
49 1 0.000000 0.000000 0.000000

0 2 0.000000 0.000000 0.000000
1 2 0.001634 0.001643 -0.000447
2 2 0.003471 0.003398 -0.000315
3 2 0.005625 0.005326 -0.000039
4 2 0.008169 0.007367 0.000427
5 2 0.010816 0.009287 0.001075
6 2 0.013140 0.010632 0.001888
7 2 0.014001 0.010712 0.002706
8 2 0.012166 0.008823 0.003167
9 2 0.006048 0.004398 0.002833
10 2 -0.005120 -0.002246 0.000952
11 2 -0.019876 -0.009712 -0.002623
12 2 -0.034271 -0.015227 -0.007543
13 2 -0.040082 -0.015423 -0.011876
14 2 -0.029380 -0.008829 -0.012036
15 2 -0.000376 0.002562 -0.005461
16 2 0.038274 0.012276 0.007909
17 2 0.062849 0.012236 0.022006
18 2 0.049827 0.001546 0.024594
19 2 0.005114 -0.010390 0.010066
20 2 -0.037013 -0.013441 -0.011026
21 2 -0.048930 -0.006718 -0.022497
22 2 -0.032593 0.002889 -0.018940
23 2 -0.008249 0.008873 -0.007511
24 2 0.007923 0.009682 0.002304
25 2 0.012605 0.007368 0.006449
26 2 0.010352 0.004441 0.006126
27 2 0.006320 0.002235 0.004089
28 2 0.003149 0.000966 0.002181
29 2 0.001335 0.000366 0.000978
30 2 0.000493 0.000123 0.000380
31 2 0.000161 0.000037 0.000130
32 2 0.000047 0.000010 0.000039
33 2 0.000012 0.000002 0.000011
34 2 0.000003 0.000001 0.000003
35 2 0.000001 0.000000 0.000001
36 2 0.000000 0.000000 0.000000
37 2 0.000000 0.000000 0.000000
38 2 0.000000 0.000000 0.000000
39 2 0.000000 0.000000 0.000000
40 2 0.000000 0.000000 0.000000
41 2 0.000000 0.000000 0.000000
42 2 0.000000 0.000000 0.000000
43 2 0.000000 0.000000 0.000000
44 2 0.000000 0.000000 0.000000
45 2 0.000000 0.000000 0.000000
46 2 0.000000 0.000000 0.000000
47 2 0.000000 0.000000 0.000000
48 2 0.000000 0.000000 0.000000
49 2 0.000000 0.000000 0.000000

0 3 0.000000 0.000000 0.000000
1 3 -0.004810 -0.000244 -0.000530
2 3 -0.009557 -0.000063 -0.000863
3 3 -0.014059 0.000939 -0.001472
4 3 -0.017792 0.003228 -0.002371
5 3 -0.019825 0.007057 -0.003283
6 3 -0.018953 0.012563 -0.004082
7 3 -0.013397 0.019183 -0.004086
8 3 -0.002552 0.025634 -0.002917
9 3 0.013946 0.029617 0.000074
10 3 0.032339 0.027911 0.004891
11 3 0.046800 0.018132 0.010107
12 3 0.049010 -0.000398 0.013866
13 3 0.031076 -0.023210 0.012098
14 3 -0.002820 -0.040624 0.003237
15 3 -0.038369 -0.042265 -0.009621
16 3 -0.052132 -0.022249 -0.019837
17 3 -0.023349 0.010585 -0.015744
18 3 0.029277 0.032449 0.005335
19 3 0.053260 0.027566 0.023892
20 3 0.025312 0.005674 0.019292
21 3 -0.022066 -0.011338 -0.003102
22 3 -0.045337 -0.012879 -0.020667
23 3 -0.034852 -0.004428 -0.020830
24 3 -0.010299 0.003984 -0.009342
25 3 0.007999 0.007444 0.002053
26 3 0.013963 0.006707 0.007313
27 3 0.011798 0.004399 0.007203
28 3 0.007311 0.002328 0.004887
29 3 0.003675 0.001040 0.002629
30 3 0.001567 0.000403 0.001185
31 3 0.000581 0.000137 0.000461
32 3 0.000190 0.000042 0.000158
33 3 0.000056 0.000011 0.000048
34 3 0.000015 0.000003 0.000013
35 3 0.000004 0.000001 0.000003
36 3 0.000001 0.000000 0.000001
37 3 0.000000 0.000000 0.000000
38 3 0.000000 0.000000 0.000000
39 3 0.000000 0.000000 0.000000
40 3 0.000000 0.000000 0.000000
41 3 0.000000 0.000000 0.000000
42 3 0.000000 0.000000 0.000000
43 3 0.000000 0.000000 0.000000
44 3 0.000000 0.000000 0.000000
45 3 0.000000 0.000000 0.000000
46 3 0.000000 0.000000 0.000000
47 3 0.000000 0.000000 0.000000
48 3 0.000000 0.000000 0.000000
49 3 0.000000 0.000000 0.000000

0 4 0.000000 0.000000 0.000000
1 4 -0.000009 -0.001341 0.001773
2 4 -0.000728 -0.002985 0.001730
3 4 -0.002524 -0.005125 0.001568
4 4 -0.006455 -0.007894 0.001145
5 4 -0.012376 -0.010940 0.000169
6 4 -0.020847 -0.013816 -0.001380
7 4 -0.030246 -0.015027 -0.003986
8 4 -0.038010 -0.013403 -0.006710
9 4 -0.040331 -0.007093 -0.009536
10 4 -0.030160 0.003871 -0.009751
11 4 -0.006548 0.017027 -0.005941
12 4 0.030636 0.027448 0.003003
13 4 0.067576 0.026354 0.016779
14 4 0.079935 0.009936 0.026434
15 4 0.054813 -0.017227 0.024651
16 4 -0.009813 -0.041124 0.006813
17 4 -0.078471 -0.038755 -0.023870
18 4 -0.082492 -0.004316 -0.039630
19 4 -0.012834 0.032317 -0.017537
20 4 0.051833 0.037971 0.019228
21 4 0.048064 0.014812 0.029533
22 4 -0.001479 -0.009478 0.008277
23 4 -0.037586 -0.016385 -0.016019
24 4 -0.035887 -0.008971 -0.021667
25 4 -0.013223 0.000892 -0.011470
26 4 0.006461 0.006049 0.000963
27 4 0.013871 0.006325 0.007359
28 4 0.012277 0.004403 0.007707
29 4 0.007773 0.002404 0.005356
30 4 0.003955 0.001094 0.002917
31 4 0.001698 0.000429 0.001324
32 4 0.000633 0.000147 0.000517
