#:x y Ey Bx Bz
0 0 0.000000 0.000000 0.000000
1 0 0.000000 0.000000 0.000000
2 0 0.000000 0.000000 0.000000
3 0 0.000000 0.000000 0.000000
4 0 0.000000 0.000000 0.000000
5 0 0.000000 0.000000 0.000000
6 0 0.000000 0.000000 0.000000
7 0 0.000000 0.000000 0.000000
8 0 0.000000 0.000000 0.000000
9 0 0.000000 0.000000 0.000000
10 0 0.000000 0.000000 0.000000
11 0 0.000000 0.000000 0.000000
12 0 0.000000 0.000000 0.000000
13 0 0.000000 0.000000 0.000000
14 0 0.000000 0.000000 0.000000
15 0 0.000000 0.000000 0.000000
16 0 0.000000 0.000000 0.000000
17 0 0.000000 0.000000 0.000000
18 0 0.000000 0.000000 0.000000
19 0 0.000000 0.000000 0.000000
20 0 0.000000 0.000000 0.000000
21 0 0.000000 0.000000 0.000000
22 0 0.000000 0.000000 0.000000
23 0 0.000000 0.000000 0.000000
24 0 0.000000 0.000000 0.000000
25 0 0.000000 0.000000 0.000000
26 0 0.000000 0.000000 0.000000
27 0 0.000000 0.000000 0.000000
28 0 0.000000 0.000000 0.000000
29 0 0.000000 0.000000 0.000000
30 0 0.000000 0.000000 0.000000
31 0 0.000000 0.000000 0.000000
32 0 0.000000 0.000000 0.000000
33 0 0.000000 0.000000 0.000000
34 0 0.000000 0.000000 0.000000
35 0 0.000000 0.000000 0.000000
36 0 0.000000 0.000000 0.000000
37 0 0.000000 0.000000 0.000000
38 0 0.000000 0.000000 0.000000
39 0 0.000000 0.000000 0.000000
40 0 0.000000 0.000000 0.000000
41 0 0.000000 0.000000 0.000000
42 0 0.000000 0.000000 0.000000
43 0 0.000000 0.000000 0.000000
44 0 0.000000 0.000000 0.000000
45 0 0.000000 0.000000 0.000000
46 0 0.000000 0.000000 0.000000
47 0 0.000000 0.000000 0.000000
48 0 0.000000 0.000000 0.000000
49 0 0.000000 0.000000 0.000000

0 1 0.000000 0.000000 0.000000
1 1 0.016979 0.012571 0.000653
2 1 0.022107 0.015038 0.001631
3 1 0.027324 0.017157 0.002912
4 1 0.032312 0.018834 0.004435
5 1 0.036790 0.020040 0.006113
6 1 0.040533 0.020801 0.007840
7 1 0.043378 0.021168 0.009509
8 1 0.045220 0.021206 0.011011
9 1 0.046001 0.020970 0.012249
10 1 0.045704 0.020498 0.013139
11 1 0.044344 0.019807 0.013613
12 1 0.041974 0.018894 0.013627
13 1 0.038689 0.017739 0.013164
14 1 0.034637 0.016322 0.012250
15 1 0.030029 0.014644 0.010955
16 1 0.025138 0.012741 0.009394
17 1 0.020266 0.010700 0.007711
18 1 0.015703 0.008640 0.006052
19 1 0.011679 0.006691 0.004539
20 1 0.008332 0.004962 0.003255
21 1 0.005702 0.003522 0.002233
22 1 0.003745 0.002393 0.001467
23 1 0.002362 0.001558 0.000924
24 1 0.001432 0.000973 0.000559
25 1 0.000836 0.000583 0.000325
26 1 0.000470 0.000336 0.000182
27 1 0.000255 0.000187 0.000098
28 1 0.000134 0.000100 0.000051
29 1 0.000068 0.000052 0.000026
30 1 0.000034 0.000026 0.000013
31 1 0.000016 0.000013 0.000006
32 1 0.000007 0.000006 0.000003
33 1 0.000003 0.000003 0.000001
34 1 0.000001 0.000001 0.000001
35 1 0.000001 0.000001 0.000000
36 1 0.000000 0.000000 0.000000
37 1 0.000000 0.000000 0.000000
38 1 0.000000 0.000000 0.000000
39 1 0.000000 0.000000 0.000000
40 1 0.000000 0.000000 0.000000
41 1 0.000000 0.000000 0.000000
42 1 0.000000 0.000000 0.000000
43 1 0.000000 0.000000 0.000000
44 1 0.000000 0.000000 0.000000
45 1 0.000000 0.000000 0.000000
46 1 0.000000 0.000000 0.000000
47 1 0.000000 0.000000 0.000000
48 1 0.000000 0.000000 0.000000
49 1 0.000000 0.000000 0.000000

0 2 0.000000 0.000000 0.000000
1 2 0.027583 0.027278 0.001036
2 2 0.033505 0.031025 0.002430
3 2 0.038996 0.033888 0.004112
4 2 0.043819 0.035846 0.005988
5 2 0.047829 0.036987 0.007958
6 2 0.050956 0.037455 0.009924
7 2 0.053184 0.037410 0.011797
8 2 0.054525 0.036999 0.013497
9 2 0.055002 0.036330 0.014954
10 2 0.054634 0.035469 0.016102
11 2 0.053434 0.034433 0.016884
12 2 0.051405 0.033199 0.017246
13 2 0.048548 0.031705 0.017140
14 2 0.044872 0.029864 0.016529
15 2 0.040429 0.027587 0.015410
16 2 0.035350 0.024832 0.013835
17 2 0.029867 0.021644 0.011918
18 2 0.024293 0.018171 0.009824
19 2 0.018971 0.014637 0.007736
20 2 0.014200 0.011283 0.005814
21 2 0.010179 0.008315 0.004172
22 2 0.006988 0.005856 0.002861
23 2 0.004597 0.003944 0.001876
24 2 0.002900 0.002543 0.001178
25 2 0.001757 0.001571 0.000710
26 2 0.001024 0.000932 0.000411
27 2 0.000575 0.000532 0.000229
28 2 0.000311 0.000292 0.000123
29 2 0.000163 0.000155 0.000064
30 2 0.000082 0.000079 0.000032
31 2 0.000040 0.000039 0.000016
32 2 0.000019 0.000019 0.000007
33 2 0.000009 0.000009 0.000003
34 2 0.000004 0.000004 0.000002
35 2 0.000002 0.000002 0.000001
36 2 0.000001 0.000001 0.000000
37 2 0.000000 0.000000 0.000000
38 2 0.000000 0.000000 0.000000
39 2 0.000000 0.000000 0.000000
40 2 0.000000 0.000000 0.000000
41 2 0.000000 0.000000 0.000000
42 2 0.000000 0.000000 0.000000
43 2 0.000000 0.000000 0.000000
44 2 0.000000 0.000000 0.000000
45 2 0.000000 0.000000 0.000000
46 2 0.000000 0.000000 0.000000
47 2 0.000000 0.000000 0.000000
48 2 0.000000 0.000000 0.000000
49 2 0.000000 0.000000 0.000000

0 3 0.000000 0.000000 0.000000
1 3 0.045476 0.041718 0.001677
2 3 0.051062 0.044246 0.003666
3 3 0.055390 0.045450 0.005829
4 3 0.058522 0.045606 0.008046
5 3 0.060624 0.045032 0.010229
6 3 0.061908 0.044024 0.012317
7 3 0.062575 0.042822 0.014275
8 3 0.062790 0.041600 0.016082
9 3 0.062666 0.040463 0.017720
10 3 0.062256 0.039458 0.019168
11 3 0.061556 0.038576 0.020396
12 3 0.060514 0.037771 0.021360
13 3 0.059025 0.036962 0.021993
14 3 0.056921 0.036022 0.022194
15 3 0.053981 0.034759 0.021829
16 3 0.050006 0.032948 0.020789
17 3 0.044931 0.030410 0.019045
18 3 0.038912 0.027106 0.016696
19 3 0.032322 0.023183 0.013957
20 3 0.025671 0.018944 0.011104
21 3 0.019462 0.014755 0.008404
22 3 0.014079 0.010946 0.006054
23 3 0.009723 0.007738 0.004156
24 3 0.006417 0.005217 0.002723
25 3 0.004053 0.003361 0.001707
26 3 0.002454 0.002072 0.001025
27 3 0.001427 0.001225 0.000591
28 3 0.000798 0.000696 0.000328
29 3 0.000430 0.000380 0.000175
30 3 0.000224 0.000201 0.000090
31 3 0.000113 0.000102 0.000045
32 3 0.000055 0.000050 0.000022
33 3 0.000026 0.000024 0.000010
34 3 0.000012 0.000011 0.000005
35 3 0.000005 0.000005 0.000002
36 3 0.000002 0.000002 0.000001
37 3 0.000001 0.000001 0.000000
38 3 0.000000 0.000000 0.000000
39 3 0.000000 0.000000 0.000000
40 3 0.000000 0.000000 0.000000
41 3 0.000000 0.000000 0.000000
42 3 0.000000 0.000000 0.000000
43 3 0.000000 0.000000 0.000000
44 3 0.000000 0.000000 0.000000
45 3 0.000000 0.000000 0.000000
46 3 0.000000 0.000000 0.000000
47 3 0.000000 0.000000 0.000000
48 3 0.000000 0.000000 0.000000
49 3 0.000000 0.000000 0.000000

0 4 0.000000 0.000000 0.000000
1 4 0.061471 0.048503 0.002262
2 4 0.063513 0.047411 0.004602
3 4 0.063950 0.045367 0.006870
4 4 0.063313 0.042893 0.008989
5 4 0.062100 0.040380 0.010938
6 4 0.060712 0.038084 0.012732
7 4 0.059429 0.036140 0.014406
8 4 0.058425 0.034597 0.015999
9 4 0.057790 0.033457 0.017547
10 4 0.057545 0.032694 0.019074
11 4 0.057649 0.032259 0.020578
12 4 0.058022 0.032090 0.022054
13 4 0.058567 0.032147 0.023484
14 4 0.059122 0.032407 0.024804
15 4 0.059372 0.032785 0.025839
16 4 0.058803 0.033038 0.026303
17 4 0.056836 0.032774 0.025887
18 4 0.053061 0.031586 0.024403
19 4 0.047457 0.029238 0.021889
20 4 0.040444 0.025793 0.018614
21 4 0.032749 0.021589 0.014987
22 4 0.025174 0.017117 0.011427
23 4 0.018381 0.012859 0.008263
24 4 0.012764 0.009164 0.005678
25 4 0.008446 0.006209 0.003716
26 4 0.005336 0.004008 0.002322
27 4 0.003226 0.002471 0.001388
28 4 0.001871 0.001459 0.000796
29 4 0.001042 0.000826 0.000439
30 4 0.000559 0.000450 0.000233
31 4 0.000290 0.000236 0.000119
32 4 0.000145 0.000120 0.000059
33 4 0.000070 0.000059 0.000028
34 4 0.000033 0.000028 0.000013
35 4 0.000015 0.000013 0.000006
36 4 0.000007 0.000006 0.000003
37 4 0.000003 0.000003 0.000001
38 4 0.000001 0.000001 0.000000
39 4 0.000000 0.000000 0.000000
40 4 0.000000 0.000000 0.000000
