#:t mx my mz
0.000000 0.999987 0.005011 0.000391
0.050000 0.999949 0.010021 0.000782
0.100000 0.999886 0.015030 0.001173
0.150000 0.999798 0.020039 0.001563
0.200000 0.999684 0.025046 0.001953
0.250000 0.999546 0.030052 0.002343
0.300000 0.999382 0.035057 0.002733
0.350000 0.999192 0.040061 0.003123
0.400000 0.998978 0.045064 0.003513
0.450000 0.998738 0.050065 0.003903
0.500000 0.998474 0.055065 0.004293
0.550000 0.998184 0.060063 0.004683
0.600000 0.997869 0.065059 0.005073
0.650000 0.997528 0.070054 0.005463
0.700000 0.997163 0.075047 0.005854
0.750000 0.996772 0.080038 0.006245
0.800000 0.996357 0.085027 0.006637
0.850000 0.995916 0.090013 0.007029
0.900000 0.995450 0.094998 0.007422
0.950000 0.994959 0.099980 0.007815
1.000000 0.994443 0.104960 0.008209
1.050000 0.993901 0.109937 0.008604
1.100000 0.993335 0.114912 0.009000
1.150000 0.992743 0.119884 0.009397
1.200000 0.992127 0.124853 0.009795
1.250000 0.991485 0.129820 0.010194
1.300000 0.990819 0.134783 0.010595
1.350000 0.990127 0.139743 0.010996
1.400000 0.989410 0.144700 0.011399
1.450000 0.988668 0.149654 0.011804
1.500000 0.987901 0.154604 0.012210
1.550000 0.987109 0.159550 0.012618
1.600000 0.986292 0.164493 0.013027
1.650000 0.985450 0.169432 0.013438
1.700000 0.984583 0.174367 0.013851
1.750000 0.983691 0.179298 0.014267
1.800000 0.982775 0.184224 0.014684
1.850000 0.981833 0.189146 0.015103
1.900000 0.980866 0.194064 0.015525
1.950000 0.979874 0.198977 0.015948
2.000000 0.978858 0.203885 0.016375
2.050000 0.977817 0.208788 0.016803
2.100000 0.976750 0.213686 0.017235
2.150000 0.975659 0.218578 0.017669
2.200000 0.974544 0.223465 0.018105
2.250000 0.973403 0.228347 0.018544
2.300000 0.972238 0.233222 0.018987
2.350000 0.971048 0.238092 0.019432
2.400000 0.969834 0.242955 0.019879
2.450000 0.968595 0.247812 0.020330
2.500000 0.967331 0.252663 0.020784
2.550000 0.966043 0.257507 0.021241
2.600000 0.964730 0.262344 0.021702
2.650000 0.963393 0.267174 0.022165
2.700000 0.962032 0.271997 0.022631
2.750000 0.960646 0.276812 0.023101
2.800000 0.959237 0.281619 0.023575
2.850000 0.957802 0.286419 0.024051
2.900000 0.956344 0.291211 0.024531
2.950000 0.954862 0.295995 0.025014
3.000000 0.953356 0.300770 0.025501
3.050000 0.951826 0.305537 0.025991
