#:t mx my mz
0.000000 0.999987 0.005011 0.000391
0.050000 0.999948 0.010021 0.000782
0.100000 0.999884 0.015030 0.001173
0.150000 0.999794 0.020038 0.001563
0.200000 0.999678 0.025046 0.001953
0.250000 0.999536 0.030052 0.002343
0.300000 0.999369 0.035057 0.002733
0.350000 0.999175 0.040061 0.003123
0.400000 0.998956 0.045063 0.003513
0.450000 0.998712 0.050064 0.003903
0.500000 0.998442 0.055063 0.004292
0.550000 0.998146 0.060061 0.004682
0.600000 0.997825 0.065056 0.005073
0.650000 0.997477 0.070050 0.005463
0.700000 0.997105 0.075042 0.005854
0.750000 0.996707 0.080032 0.006245
0.800000 0.996283 0.085020 0.006636
0.850000 0.995834 0.090006 0.007028
0.900000 0.995360 0.094989 0.007421
0.950000 0.994860 0.099970 0.007814
1.000000 0.994334 0.104948 0.008208
1.050000 0.993783 0.109924 0.008603
1.100000 0.993207 0.114897 0.008999
1.150000 0.992606 0.119867 0.009396
1.200000 0.991979 0.124835 0.009794
1.250000 0.991327 0.129799 0.010193
1.300000 0.990650 0.134760 0.010593
1.350000 0.989948 0.139718 0.010994
1.400000 0.989221 0.144672 0.011397
1.450000 0.988468 0.149623 0.011801
1.500000 0.987691 0.154571 0.012207
1.550000 0.986888 0.159514 0.012615
1.600000 0.986061 0.164454 0.013024
1.650000 0.985208 0.169390 0.013435
1.700000 0.984331 0.174322 0.013848
1.750000 0.983429 0.179250 0.014263
1.800000 0.982502 0.184173 0.014680
1.850000 0.981550 0.189092 0.015099
1.900000 0.980573 0.194006 0.015520
1.950000 0.979572 0.198915 0.015944
2.000000 0.978547 0.203820 0.016370
2.050000 0.977496 0.208719 0.016798
2.100000 0.976421 0.213614 0.017229
2.150000 0.975322 0.218503 0.017662
2.200000 0.974198 0.223386 0.018099
2.250000 0.973050 0.228264 0.018538
2.300000 0.971878 0.233136 0.018979
2.350000 0.970681 0.238002 0.019424
2.400000 0.969460 0.242862 0.019872
2.450000 0.968215 0.247715 0.020322
2.500000 0.966945 0.252562 0.020776
2.550000 0.965652 0.257403 0.021233
2.600000 0.964334 0.262236 0.021693
2.650000 0.962993 0.267063 0.022156
2.700000 0.961627 0.271882 0.022622
2.750000 0.960238 0.276694 0.023092
2.800000 0.958825 0.281499 0.023564
2.850000 0.957388 0.286295 0.024041
2.900000 0.955928 0.291084 0.024520
2.950000 0.954443 0.295865 0.025003
3.000000 0.952936 0.300637 0.025489
3.050000 0.951404 0.305401 0.025979
3.100000 0.949849 0.310157 0.026472
3.150000 0.948271 0.314903 0.026969
3.200000 0.946669 0.319640 0.027469
