#:t mx my mz
0.000000 0.999987 0.005012 0.000387
0.050000 0.999948 0.010023 0.000773
0.100000 0.999884 0.015033 0.001160
0.150000 0.999794 0.020042 0.001546
0.200000 0.999677 0.025050 0.001932
0.250000 0.999536 0.030058 0.002318
0.300000 0.999368 0.035064 0.002704
0.350000 0.999175 0.040068 0.003090
0.400000 0.998956 0.045072 0.003475
0.450000 0.998711 0.050074 0.003861
0.500000 0.998441 0.055074 0.004248
0.550000 0.998145 0.060073 0.004634
0.600000 0.997823 0.065070 0.005020
0.650000 0.997476 0.070065 0.005407
0.700000 0.997103 0.075058 0.005794
0.750000 0.996705 0.080049 0.006182
0.800000 0.996281 0.085039 0.006570
0.850000 0.995832 0.090025 0.006959
0.900000 0.995357 0.095010 0.007349
0.950000 0.994857 0.099992 0.007739
1.000000 0.994331 0.104972 0.008130
1.050000 0.993780 0.109949 0.008522
1.100000 0.993203 0.114923 0.008915
1.150000 0.992602 0.119895 0.009309
1.200000 0.991975 0.124864 0.009704
1.250000 0.991322 0.129829 0.010100
1.300000 0.990645 0.134792 0.010498
1.350000 0.989942 0.139751 0.010897
1.400000 0.989215 0.144707 0.011297
1.450000 0.988462 0.149660 0.011699
1.500000 0.987684 0.154609 0.012103
1.550000 0.986881 0.159554 0.012508
1.600000 0.986053 0.164495 0.012915
1.650000 0.985200 0.169433 0.013324
1.700000 0.984322 0.174366 0.013735
1.750000 0.983420 0.179295 0.014148
1.800000 0.982492 0.184220 0.014563
1.850000 0.981540 0.189141 0.014981
1.900000 0.980563 0.194056 0.015400
1.950000 0.979562 0.198967 0.015823
2.000000 0.978535 0.203874 0.016247
2.050000 0.977485 0.208775 0.016674
2.100000 0.976409 0.213670 0.017104
2.150000 0.975309 0.218561 0.017536
2.200000 0.974185 0.223446 0.017971
2.250000 0.973036 0.228325 0.018409
2.300000 0.971863 0.233199 0.018850
2.350000 0.970666 0.238066 0.019294
2.400000 0.969444 0.242927 0.019741
2.450000 0.968199 0.247782 0.020191
2.500000 0.966929 0.252631 0.020644
2.550000 0.965635 0.257473 0.021100
2.600000 0.964316 0.262308 0.021560
