#:t mx my mz
0.000000 0.999987 0.005012 0.000387
0.050000 0.999949 0.010023 0.000773
0.100000 0.999886 0.015033 0.001160
0.150000 0.999798 0.020042 0.001546
0.200000 0.999684 0.025051 0.001932
0.250000 0.999545 0.030058 0.002318
0.300000 0.999381 0.035064 0.002704
0.350000 0.999192 0.040069 0.003090
0.400000 0.998978 0.045073 0.003476
0.450000 0.998738 0.050075 0.003862
0.500000 0.998473 0.055076 0.004248
0.550000 0.998183 0.060075 0.004634
0.600000 0.997868 0.065073 0.005021
0.650000 0.997528 0.070069 0.005408
0.700000 0.997162 0.075063 0.005795
0.750000 0.996771 0.080055 0.006183
0.800000 0.996355 0.085045 0.006571
0.850000 0.995914 0.090033 0.006960
0.900000 0.995448 0.095019 0.007349
0.950000 0.994957 0.100002 0.007740
1.000000 0.994441 0.104984 0.008131
1.050000 0.993899 0.109962 0.008523
1.100000 0.993333 0.114938 0.008916
1.150000 0.992741 0.119912 0.009310
1.200000 0.992124 0.124883 0.009705
1.250000 0.991482 0.129850 0.010102
1.300000 0.990815 0.134815 0.010500
1.350000 0.990123 0.139777 0.010899
1.400000 0.989406 0.144735 0.011299
1.450000 0.988664 0.149690 0.011702
1.500000 0.987896 0.154642 0.012105
1.550000 0.987104 0.159590 0.012511
1.600000 0.986287 0.164534 0.012918
1.650000 0.985444 0.169475 0.013327
1.700000 0.984577 0.174411 0.013739
1.750000 0.983685 0.179344 0.014152
1.800000 0.982767 0.184272 0.014567
1.850000 0.981825 0.189196 0.014985
1.900000 0.980858 0.194115 0.015405
1.950000 0.979866 0.199029 0.015827
2.000000 0.978849 0.203939 0.016252
2.050000 0.977807 0.208843 0.016680
2.100000 0.976740 0.213743 0.017110
2.150000 0.975649 0.218637 0.017542
2.200000 0.974532 0.223526 0.017978
2.250000 0.973391 0.228409 0.018416
2.300000 0.972225 0.233286 0.018857
2.350000 0.971035 0.238157 0.019301
2.400000 0.969820 0.243022 0.019749
2.450000 0.968580 0.247880 0.020199
2.500000 0.967316 0.252732 0.020652
2.550000 0.966027 0.257577 0.021109
2.600000 0.964714 0.262416 0.021568
2.650000 0.963376 0.267247 0.022032
2.700000 0.962014 0.272071 0.022498
2.750000 0.960628 0.276887 0.022968
2.800000 0.959217 0.281696 0.023441
2.850000 0.957783 0.286497 0.023917
2.900000 0.956324 0.291290 0.024397
2.950000 0.954841 0.296075 0.024880
3.000000 0.953334 0.300851 0.025367
3.050000 0.951803 0.305618 0.025857
3.100000 0.950248 0.310377 0.026351
3.150000 0.948670 0.315127 0.026848
3.200000 0.947068 0.319867 0.027348
3.250000 0.945442 0.324598 0.027852
3.300000 0.943792 0.329320 0.028360
3.350000 0.942120 0.334031 0.028870
3.400000 0.940424 0.338733 0.029384
3.450000 0.938704 0.343425 0.029902
3.500000 0.936961 0.348106 0.030423
3.550000 0.935196 0.352777 0.030947
